,room,game,condition,first_player,move,agreement
1,17,13,control,1,1,0.3333333333333333
2,17,13,control,1,2,0.0
3,17,13,control,1,3,0.0
4,17,13,control,1,4,0.0
5,17,13,control,1,5,0.0
6,17,13,control,1,6,0.0
7,17,13,control,1,7,0.5
8,17,13,control,1,8,1.0
9,17,13,control,1,9,0.0
10,17,13,control,1,10,1.0
11,17,13,control,1,11,0.0
12,17,13,control,1,12,1.0
13,17,13,control,1,13,0.0
14,17,13,control,1,14,0.0
0,17,14,control,0,0,0.25
1,17,14,control,0,1,0.3333333333333333
2,17,14,control,0,2,0.0
3,17,14,control,0,3,0.0
4,17,14,control,0,4,0.0
5,17,14,control,0,5,0.5
6,17,14,control,0,6,1.0
7,17,14,control,0,7,0.0
8,17,14,control,0,8,0.0
9,17,14,control,0,9,0.0
10,17,14,control,0,10,1.0
11,17,14,control,0,11,0.0
12,17,14,control,0,12,0.0
13,17,14,control,0,13,0.0
14,17,14,control,0,14,0.0
0,17,15,control,1,0,0.25
1,17,15,control,1,1,0.3333333333333333
2,17,15,control,1,2,0.0
3,17,15,control,1,3,0.0
4,17,15,control,1,4,0.3333333333333333
5,17,15,control,1,5,0.0
6,17,15,control,1,6,0.0
7,17,15,control,1,7,1.0
8,17,15,control,1,8,1.0
9,17,15,control,1,9,0.0
10,17,15,control,1,10,1.0
11,17,15,control,1,11,0.0
12,17,15,control,1,12,1.0
13,17,15,control,1,13,0.0
14,17,15,control,1,14,1.0
0,17,16,control,0,0,0.25
1,17,16,control,0,1,0.0
2,17,16,control,0,2,0.0
3,17,16,control,0,3,0.0
4,17,16,control,0,4,0.0
5,17,16,control,0,5,0.0
6,17,16,control,0,6,0.0
7,17,16,control,0,7,0.5
8,17,16,control,0,8,0.0
9,17,16,control,0,9,0.0
10,17,16,control,0,10,1.0
11,17,16,control,0,11,0.0
12,17,16,control,0,12,0.0
13,17,16,control,0,13,0.0
14,17,16,control,0,14,0.0
0,17,17,control,1,0,0.25
1,17,17,control,1,1,0.0
2,17,17,control,1,2,0.5
3,17,17,control,1,3,0.0
4,17,17,control,1,4,1.0
5,17,17,control,1,5,0.0
6,17,17,control,1,6,0.0
7,17,17,control,1,7,0.0
8,17,17,control,1,8,0.0
9,17,17,control,1,9,1.0
10,17,17,control,1,10,0.0
11,17,17,control,1,11,0.0
12,17,17,control,1,12,1.0
13,17,17,control,1,13,0.0
14,17,17,control,1,14,0.0
0,17,18,control,0,0,0.25
1,17,18,control,0,1,0.3333333333333333
2,17,18,control,0,2,0.5
3,17,18,control,0,3,0.0
4,17,18,control,0,4,0.0
5,17,18,control,0,5,0.5
6,17,18,control,0,6,0.0
7,17,18,control,0,7,0.0
8,17,18,control,0,8,0.0
9,17,18,control,0,9,0.0
10,17,18,control,0,10,1.0
11,17,18,control,0,11,1.0
12,17,18,control,0,12,0.0
13,17,18,control,0,13,0.0
14,17,18,control,0,14,0.0
0,17,19,control,1,0,0.25
1,17,19,control,1,1,0.0
2,17,19,control,1,2,0.5
3,17,19,control,1,3,0.0
4,17,19,control,1,4,0.0
5,17,19,control,1,5,0.0
6,17,19,control,1,6,0.5
7,17,19,control,1,7,0.0
8,17,19,control,1,8,0.5
9,17,19,control,1,9,0.0
10,17,19,control,1,10,0.5
11,17,19,control,1,11,0.0
12,17,19,control,1,12,0.0
13,17,19,control,1,13,0.0
14,17,19,control,1,14,0.0
0,8,0,control,0,0,0.25
1,8,0,control,0,1,0.3333333333333333
2,8,0,control,0,2,0.0
3,8,0,control,0,3,0.0
4,8,0,control,0,4,0.5
5,8,0,control,0,5,1.0
6,8,0,control,0,6,0.3333333333333333
7,8,0,control,0,7,0.0
8,8,0,control,0,8,0.0
9,8,0,control,0,9,0.0
10,8,0,control,0,10,0.0
11,8,0,control,0,11,1.0
12,8,0,control,0,12,0.0
13,8,0,control,0,13,0.0
14,8,0,control,0,14,0.0
0,8,1,control,1,0,0.25
1,8,1,control,1,1,0.0
2,8,1,control,1,2,0.3333333333333333
3,8,1,control,1,3,0.0
4,8,1,control,1,4,0.5
5,8,1,control,1,5,1.0
6,8,1,control,1,6,1.0
7,8,1,control,1,7,0.0
8,8,1,control,1,8,1.0
9,8,1,control,1,9,0.0
10,8,1,control,1,10,0.0
11,8,1,control,1,11,1.0
12,8,1,control,1,12,0.0
13,8,1,control,1,13,0.0
14,8,1,control,1,14,1.0
0,8,2,control,0,0,0.25
1,8,2,control,0,1,0.0
2,8,2,control,0,2,0.0
3,8,2,control,0,3,0.0
4,8,2,control,0,4,0.0
5,8,2,control,0,5,0.3333333333333333
6,8,2,control,0,6,0.5
7,8,2,control,0,7,0.0
8,8,2,control,0,8,0.5
9,8,2,control,0,9,0.0
10,8,2,control,0,10,0.0
11,8,2,control,0,11,0.0
12,8,2,control,0,12,0.0
13,8,2,control,0,13,0.0
14,8,2,control,0,14,1.0
0,8,3,control,1,0,0.25
1,8,3,control,1,1,0.0
2,8,3,control,1,2,1.0
3,8,3,control,1,3,0.0
4,8,3,control,1,4,1.0
5,8,3,control,1,5,1.0
6,8,3,control,1,6,1.0
7,8,3,control,1,7,0.0
8,8,3,control,1,8,1.0
9,8,3,control,1,9,0.0
10,8,3,control,1,10,0.0
11,8,3,control,1,11,0.0
12,8,3,control,1,12,0.0
13,8,3,control,1,13,1.0
14,8,3,control,1,14,0.0
0,8,4,control,0,0,0.25
1,8,4,control,0,1,1.0
2,8,4,control,0,2,0.3333333333333333
3,8,4,control,0,3,1.0
4,8,4,control,0,4,0.0
5,8,4,control,0,5,0.0
6,8,4,control,0,6,0.0
7,8,4,control,0,7,0.0
8,8,4,control,0,8,0.0
9,8,4,control,0,9,0.5
10,8,4,control,0,10,1.0
11,8,4,control,0,11,1.0
12,8,4,control,0,12,0.0
13,8,4,control,0,13,0.0
14,8,4,control,0,14,0.0
0,8,5,control,1,0,0.25
1,8,5,control,1,1,0.0
2,8,5,control,1,2,0.0
3,8,5,control,1,3,0.3333333333333333
4,8,5,control,1,4,0.5
5,8,5,control,1,5,0.0
6,8,5,control,1,6,0.0
7,8,5,control,1,7,0.0
8,8,5,control,1,8,0.0
9,8,5,control,1,9,0.0
10,8,5,control,1,10,0.0
11,8,5,control,1,11,0.5
12,8,5,control,1,12,1.0
13,8,5,control,1,13,1.0
14,8,5,control,1,14,1.0
0,8,6,control,0,0,0.25
1,8,6,control,0,1,1.0
2,8,6,control,0,2,0.0
3,8,6,control,0,3,0.0
4,8,6,control,0,4,0.0
5,8,6,control,0,5,0.0
6,8,6,control,0,6,0.0
7,8,6,control,0,7,1.0
8,8,6,control,0,8,1.0
9,8,6,control,0,9,1.0
10,8,6,control,0,10,0.0
11,8,6,control,0,11,0.0
12,8,6,control,0,12,1.0
13,8,6,control,0,13,0.0
14,8,6,control,0,14,0.0
0,8,7,control,1,0,0.25
1,8,7,control,1,1,0.3333333333333333
2,8,7,control,1,2,1.0
3,8,7,control,1,3,0.0
4,8,7,control,1,4,0.0
5,8,7,control,1,5,0.0
6,8,7,control,1,6,0.0
7,8,7,control,1,7,0.0
8,8,7,control,1,8,1.0
9,8,7,control,1,9,1.0
10,8,7,control,1,10,1.0
11,8,7,control,1,11,0.0
12,8,7,control,1,12,1.0
13,8,7,control,1,13,0.0
14,8,7,control,1,14,0.0
0,8,8,control,0,0,0.25
1,8,8,control,0,1,1.0
2,8,8,control,0,2,0.3333333333333333
3,8,8,control,0,3,0.5
4,8,8,control,0,4,0.0
5,8,8,control,0,5,0.0
6,8,8,control,0,6,0.0
7,8,8,control,0,7,0.0
8,8,8,control,0,8,1.0
9,8,8,control,0,9,1.0
10,8,8,control,0,10,0.0
11,8,8,control,0,11,0.5
12,8,8,control,0,12,0.0
13,8,8,control,0,13,0.0
14,8,8,control,0,14,0.5
0,8,9,control,1,0,0.25
1,8,9,control,1,1,1.0
2,8,9,control,1,2,0.0
3,8,9,control,1,3,0.3333333333333333
4,8,9,control,1,4,1.0
5,8,9,control,1,5,0.0
6,8,9,control,1,6,1.0
7,8,9,control,1,7,1.0
8,8,9,control,1,8,0.0
9,8,9,control,1,9,0.0
10,8,9,control,1,10,0.0
11,8,9,control,1,11,0.0
12,8,9,control,1,12,0.0
13,8,9,control,1,13,0.0
14,8,9,control,1,14,0.5
0,8,10,control,1,0,0.25
1,8,10,control,1,1,1.0
2,8,10,control,1,2,1.0
3,8,10,control,1,3,1.0
4,8,10,control,1,4,1.0
5,8,10,control,1,5,0.0
6,8,10,control,1,6,0.0
7,8,10,control,1,7,0.0
8,8,10,control,1,8,0.0
9,8,10,control,1,9,0.0
10,8,10,control,1,10,0.0
11,8,10,control,1,11,0.0
12,8,10,control,1,12,0.5
13,8,10,control,1,13,0.0
14,8,10,control,1,14,0.0
0,8,11,control,0,0,0.25
1,8,11,control,0,1,0.3333333333333333
2,8,11,control,0,2,0.0
3,8,11,control,0,3,0.5
4,8,11,control,0,4,0.0
5,8,11,control,0,5,1.0
6,8,11,control,0,6,1.0
7,8,11,control,0,7,1.0
8,8,11,control,0,8,0.0
9,8,11,control,0,9,0.0
10,8,11,control,0,10,1.0
11,8,11,control,0,11,1.0
12,8,11,control,0,12,0.0
13,8,11,control,0,13,0.0
14,8,11,control,0,14,0.0
0,8,12,control,1,0,0.25
1,8,12,control,1,1,0.0
2,8,12,control,1,2,0.3333333333333333
3,8,12,control,1,3,0.0
4,8,12,control,1,4,0.0
5,8,12,control,1,5,0.5
6,8,12,control,1,6,1.0
7,8,12,control,1,7,0.0
8,8,12,control,1,8,1.0
9,8,12,control,1,9,0.0
10,8,12,control,1,10,1.0
11,8,12,control,1,11,0.0
12,8,12,control,1,12,1.0
13,8,12,control,1,13,1.0
14,8,12,control,1,14,0.0
0,8,13,control,0,0,0.25
1,8,13,control,0,1,0.0
2,8,13,control,0,2,0.3333333333333333
3,8,13,control,0,3,0.0
4,8,13,control,0,4,0.5
5,8,13,control,0,5,0.0
6,8,13,control,0,6,0.5
7,8,13,control,0,7,1.0
8,8,13,control,0,8,0.0
9,8,13,control,0,9,1.0
10,8,13,control,0,10,0.0
11,8,13,control,0,11,0.0
12,8,13,control,0,12,0.0
13,8,13,control,0,13,1.0
14,8,13,control,0,14,0.0
0,8,14,control,1,0,0.25
1,8,14,control,1,1,1.0
2,8,14,control,1,2,1.0
3,8,14,control,1,3,1.0
4,8,14,control,1,4,1.0
5,8,14,control,1,5,0.3333333333333333
6,8,14,control,1,6,0.5
7,8,14,control,1,7,1.0
8,8,14,control,1,8,1.0
9,8,14,control,1,9,0.0
10,8,14,control,1,10,1.0
11,8,14,control,1,11,0.0
12,8,14,control,1,12,1.0
13,8,14,control,1,13,1.0
14,8,14,control,1,14,1.0
0,8,15,control,0,0,0.25
1,8,15,control,0,1,0.3333333333333333
2,8,15,control,0,2,0.5
3,8,15,control,0,3,0.0
4,8,15,control,0,4,1.0
5,8,15,control,0,5,1.0
6,8,15,control,0,6,0.0
7,8,15,control,0,7,0.0
8,8,15,control,0,8,0.0
9,8,15,control,0,9,0.5
10,8,15,control,0,10,0.0
11,8,15,control,0,11,1.0
12,8,15,control,0,12,0.0
13,8,15,control,0,13,0.0
14,8,15,control,0,14,0.0
0,8,16,control,1,0,0.25
1,8,16,control,1,1,0.0
2,8,16,control,1,2,0.3333333333333333
3,8,16,control,1,3,0.0
4,8,16,control,1,4,0.5
5,8,16,control,1,5,0.0
6,8,16,control,1,6,1.0
7,8,16,control,1,7,0.0
8,8,16,control,1,8,1.0
9,8,16,control,1,9,0.0
10,8,16,control,1,10,0.0
11,8,16,control,1,11,1.0
12,8,16,control,1,12,0.0
13,8,16,control,1,13,0.0
14,8,16,control,1,14,0.0
0,8,17,control,1,0,0.25
1,8,17,control,1,1,1.0
2,8,17,control,1,2,1.0
3,8,17,control,1,3,0.0
4,8,17,control,1,4,0.0
5,8,17,control,1,5,0.0
6,8,17,control,1,6,0.0
7,8,17,control,1,7,0.0
8,8,17,control,1,8,0.5
9,8,17,control,1,9,0.0
10,8,17,control,1,10,0.5
11,8,17,control,1,11,0.0
12,8,17,control,1,12,0.0
13,8,17,control,1,13,0.0
14,8,17,control,1,14,0.0
0,8,18,control,0,0,0.25
1,8,18,control,0,1,1.0
2,8,18,control,0,2,0.3333333333333333
3,8,18,control,0,3,1.0
4,8,18,control,0,4,0.0
5,8,18,control,0,5,0.0
6,8,18,control,0,6,0.0
7,8,18,control,0,7,0.0
8,8,18,control,0,8,0.0
9,8,18,control,0,9,0.0
10,8,18,control,0,10,1.0
11,8,18,control,0,11,1.0
12,8,18,control,0,12,0.0
13,8,18,control,0,13,1.0
14,8,18,control,0,14,1.0
0,8,19,control,1,0,0.25
1,8,19,control,1,1,0.0
2,8,19,control,1,2,0.5
3,8,19,control,1,3,0.0
4,8,19,control,1,4,1.0
5,8,19,control,1,5,0.0
6,8,19,control,1,6,0.0
7,8,19,control,1,7,0.0
8,8,19,control,1,8,1.0
9,8,19,control,1,9,0.5
10,8,19,control,1,10,0.0
11,8,19,control,1,11,0.0
12,8,19,control,1,12,1.0
13,8,19,control,1,13,0.0
14,8,19,control,1,14,1.0
0,11,0,control,0,0,0.25
1,11,0,control,0,1,0.3333333333333333
2,11,0,control,0,2,0.0
3,11,0,control,0,3,0.0
4,11,0,control,0,4,0.0
5,11,0,control,0,5,0.0
6,11,0,control,0,6,0.5
7,11,0,control,0,7,0.0
8,11,0,control,0,8,1.0
9,11,0,control,0,9,0.0
10,11,0,control,0,10,0.0
11,11,0,control,0,11,1.0
12,11,0,control,0,12,0.0
13,11,0,control,0,13,0.0
14,11,0,control,0,14,0.0
0,11,1,control,1,0,0.25
1,11,1,control,1,1,0.0
2,11,1,control,1,2,1.0
3,11,1,control,1,3,0.5
4,11,1,control,1,4,0.0
5,11,1,control,1,5,1.0
6,11,1,control,1,6,1.0
7,11,1,control,1,7,1.0
8,11,1,control,1,8,1.0
9,11,1,control,1,9,1.0
10,11,1,control,1,10,1.0
11,11,1,control,1,11,1.0
12,11,1,control,1,12,1.0
13,11,1,control,1,13,1.0
14,11,1,control,1,14,0.0
0,11,2,control,0,0,0.25
1,11,2,control,0,1,0.0
2,11,2,control,0,2,0.5
3,11,2,control,0,3,0.0
4,11,2,control,0,4,0.0
5,11,2,control,0,5,1.0
6,11,2,control,0,6,1.0
7,11,2,control,0,7,1.0
8,11,2,control,0,8,1.0
9,11,2,control,0,9,1.0
10,11,2,control,0,10,1.0
11,11,2,control,0,11,0.0
12,11,2,control,0,12,1.0
13,11,2,control,0,13,0.0
14,11,2,control,0,14,0.0
0,11,3,control,1,0,0.25
1,11,3,control,1,1,0.3333333333333333
2,11,3,control,1,2,1.0
3,11,3,control,1,3,0.0
4,11,3,control,1,4,0.0
5,11,3,control,1,5,1.0
6,11,3,control,1,6,0.5
7,11,3,control,1,7,1.0
8,11,3,control,1,8,0.0
9,11,3,control,1,9,1.0
10,11,3,control,1,10,1.0
11,11,3,control,1,11,1.0
12,11,3,control,1,12,1.0
13,11,3,control,1,13,1.0
14,11,3,control,1,14,0.0
0,11,4,control,0,0,0.25
1,11,4,control,0,1,1.0
2,11,4,control,0,2,1.0
3,11,4,control,0,3,0.3333333333333333
4,11,4,control,0,4,0.0
5,11,4,control,0,5,0.5
6,11,4,control,0,6,1.0
7,11,4,control,0,7,1.0
8,11,4,control,0,8,1.0
9,11,4,control,0,9,1.0
10,11,4,control,0,10,1.0
11,11,4,control,0,11,1.0
12,11,4,control,0,12,1.0
13,11,4,control,0,13,1.0
14,11,4,control,0,14,1.0
0,11,5,control,1,0,0.25
1,11,5,control,1,1,1.0
2,11,5,control,1,2,0.3333333333333333
3,11,5,control,1,3,0.5
4,11,5,control,1,4,1.0
5,11,5,control,1,5,0.0
6,11,5,control,1,6,0.0
7,11,5,control,1,7,1.0
8,11,5,control,1,8,1.0
9,11,5,control,1,9,1.0
10,11,5,control,1,10,1.0
11,11,5,control,1,11,1.0
12,11,5,control,1,12,1.0
13,11,5,control,1,13,1.0
14,11,5,control,1,14,1.0
0,11,6,control,0,0,0.25
1,11,6,control,0,1,1.0
2,11,6,control,0,2,0.0
3,11,6,control,0,3,0.3333333333333333
4,11,6,control,0,4,0.0
5,11,6,control,0,5,1.0
6,11,6,control,0,6,1.0
7,11,6,control,0,7,0.0
8,11,6,control,0,8,0.5
9,11,6,control,0,9,1.0
10,11,6,control,0,10,1.0
11,11,6,control,0,11,1.0
12,11,6,control,0,12,1.0
13,11,6,control,0,13,1.0
14,11,6,control,0,14,1.0
0,11,7,control,1,0,0.25
1,11,7,control,1,1,0.3333333333333333
2,11,7,control,1,2,0.5
3,11,7,control,1,3,1.0
4,11,7,control,1,4,1.0
5,11,7,control,1,5,1.0
6,11,7,control,1,6,1.0
7,11,7,control,1,7,1.0
8,11,7,control,1,8,1.0
9,11,7,control,1,9,1.0
10,11,7,control,1,10,1.0
11,11,7,control,1,11,1.0
12,11,7,control,1,12,1.0
13,11,7,control,1,13,1.0
14,11,7,control,1,14,1.0
0,11,8,control,0,0,0.25
1,11,8,control,0,1,0.3333333333333333
2,11,8,control,0,2,1.0
3,11,8,control,0,3,1.0
4,11,8,control,0,4,0.0
5,11,8,control,0,5,1.0
6,11,8,control,0,6,1.0
7,11,8,control,0,7,1.0
8,11,8,control,0,8,1.0
9,11,8,control,0,9,0.0
10,11,8,control,0,10,1.0
11,11,8,control,0,11,1.0
12,11,8,control,0,12,1.0
13,11,8,control,0,13,1.0
14,11,8,control,0,14,1.0
0,11,9,control,1,0,0.25
1,11,9,control,1,1,1.0
2,11,9,control,1,2,0.0
3,11,9,control,1,3,0.0
4,11,9,control,1,4,0.3333333333333333
5,11,9,control,1,5,1.0
6,11,9,control,1,6,1.0
7,11,9,control,1,7,0.0
8,11,9,control,1,8,0.5
9,11,9,control,1,9,1.0
10,11,9,control,1,10,1.0
11,11,9,control,1,11,1.0
12,11,9,control,1,12,1.0
13,11,9,control,1,13,1.0
14,11,9,control,1,14,1.0
0,11,10,control,0,0,0.25
1,11,10,control,0,1,0.0
2,11,10,control,0,2,0.5
3,11,10,control,0,3,1.0
4,11,10,control,0,4,1.0
5,11,10,control,0,5,1.0
6,11,10,control,0,6,1.0
7,11,10,control,0,7,1.0
8,11,10,control,0,8,1.0
9,11,10,control,0,9,1.0
10,11,10,control,0,10,1.0
11,11,10,control,0,11,1.0
12,11,10,control,0,12,1.0
13,11,10,control,0,13,1.0
14,11,10,control,0,14,1.0
0,11,11,control,1,0,0.25
1,11,11,control,1,1,1.0
2,11,11,control,1,2,1.0
3,11,11,control,1,3,0.0
4,11,11,control,1,4,1.0
5,11,11,control,1,5,1.0
6,11,11,control,1,6,1.0
7,11,11,control,1,7,1.0
8,11,11,control,1,8,1.0
9,11,11,control,1,9,1.0
10,11,11,control,1,10,1.0
11,11,11,control,1,11,1.0
12,11,11,control,1,12,1.0
13,11,11,control,1,13,1.0
14,11,11,control,1,14,1.0
0,11,12,control,0,0,0.25
1,11,12,control,0,1,0.3333333333333333
2,11,12,control,0,2,0.5
3,11,12,control,0,3,1.0
4,11,12,control,0,4,0.25
5,11,12,control,0,5,0.3333333333333333
6,11,12,control,0,6,0.5
7,11,12,control,0,7,1.0
8,11,12,control,0,8,1.0
9,11,12,control,0,9,1.0
10,11,12,control,0,10,1.0
11,11,12,control,0,11,1.0
12,11,12,control,0,12,1.0
13,11,12,control,0,13,1.0
14,11,12,control,0,14,1.0
0,11,13,control,1,0,0.25
1,11,13,control,1,1,1.0
2,11,13,control,1,2,0.0
3,11,13,control,1,3,0.3333333333333333
4,11,13,control,1,4,1.0
5,11,13,control,1,5,0.0
6,11,13,control,1,6,0.5
7,11,13,control,1,7,1.0
8,11,13,control,1,8,1.0
9,11,13,control,1,9,1.0
10,11,13,control,1,10,1.0
11,11,13,control,1,11,1.0
12,11,13,control,1,12,1.0
13,11,13,control,1,13,1.0
14,11,13,control,1,14,0.0
0,11,14,control,0,0,0.25
1,11,14,control,0,1,0.3333333333333333
2,11,14,control,0,2,0.5
3,11,14,control,0,3,1.0
4,11,14,control,0,4,1.0
5,11,14,control,0,5,0.0
6,11,14,control,0,6,0.0
7,11,14,control,0,7,0.0
8,11,14,control,0,8,1.0
9,11,14,control,0,9,1.0
10,11,14,control,0,10,1.0
11,11,14,control,0,11,1.0
12,11,14,control,0,12,1.0
13,11,14,control,0,13,1.0
14,11,14,control,0,14,1.0
0,11,15,control,1,0,0.25
1,11,15,control,1,1,1.0
2,11,15,control,1,2,1.0
3,11,15,control,1,3,0.3333333333333333
4,11,15,control,1,4,1.0
5,11,15,control,1,5,1.0
6,11,15,control,1,6,1.0
7,11,15,control,1,7,0.0
8,11,15,control,1,8,0.0
9,11,15,control,1,9,0.0
10,11,15,control,1,10,0.0
11,11,15,control,1,11,1.0
12,11,15,control,1,12,1.0
13,11,15,control,1,13,1.0
14,11,15,control,1,14,1.0
0,11,16,control,0,0,0.25
1,11,16,control,0,1,1.0
2,11,16,control,0,2,0.0
3,11,16,control,0,3,0.3333333333333333
4,11,16,control,0,4,0.0
5,11,16,control,0,5,0.5
6,11,16,control,0,6,1.0
7,11,16,control,0,7,1.0
8,11,16,control,0,8,1.0
9,11,16,control,0,9,1.0
10,11,16,control,0,10,1.0
11,11,16,control,0,11,1.0
12,11,16,control,0,12,1.0
13,11,16,control,0,13,1.0
14,11,16,control,0,14,1.0
0,11,17,control,1,0,0.25
1,11,17,control,1,1,0.3333333333333333
2,11,17,control,1,2,0.5
